Fiscal Year,Work Location Borough,Regular Gross Paid,OT Hours,Total OT Paid
2020,MANHATTAN,46972.69,337.75,10983.08
2020,MANHATTAN,57839.04,34.75,1306.16
2020,MANHATTAN,48914.17,142,5402.71
2020,MANHATTAN,48947.8,160,5986.57
2020,QUEENS,55977.71,7,232.82
2020,QUEENS,48914.17,229,7938.19
2020,MANHATTAN,42534.75,431,14147.3
2020,BRONX,55557.69,34,1311.6
2020,MANHATTAN,45771.27,366,12433.89
2020,BROOKLYN,41219.02,356,11870.72
2020,MANHATTAN,46972.69,293.75,9479.99
2020,MANHATTAN,47679.39,171.25,6000.51
2020,MANHATTAN,48576.35,4,119.12
2020,MANHATTAN,49130.7,2.5,74.8
2020,MANHATTAN,56213.12,21,668.48
2020,MANHATTAN,46972.69,249,7970.98
2020,MANHATTAN,48877.52,168.25,5811.72
2020,BROOKLYN,49278.57,139.75,4047.39
2020,BROOKLYN,49453.71,82.75,2665.18
2020,MANHATTAN,55726.65,5.25,168.97
2020,MANHATTAN,48989.81,78.75,2909.72
2020,MANHATTAN,48379.91,12.5,520.73
2020,BROOKLYN,53270.29,94.25,3306.74
2020,BROOKLYN,46792.5,218.5,6299.52
2020,MANHATTAN,49104.24,85.5,3174.51
2020,MANHATTAN,53042.88,92,3342.27
2020,MANHATTAN,46972.69,231.25,7559.87
2020,MANHATTAN,48914.17,93.75,3203.09
2020,MANHATTAN,42534.75,300.5,9587.24
2020,BROOKLYN,49356.39,53,1542.35
2020,QUEENS,48914.17,38,1429.7
2020,MANHATTAN,48439.06,63,2399.57
2020,BROOKLYN,48268.88,102,3273.93
2020,MANHATTAN,48965.38,37,1354.42
2020,MANHATTAN,47623.82,7,171.08
2020,QUEENS,48914.17,122.25,4083.27
2020,MANHATTAN,48914.17,105,3552.82
2020,BROOKLYN,49426.22,30.25,883.01
2020,MANHATTAN,48914.17,5,139.98
2020,MANHATTAN,53270.29,39,1292.72
2020,MANHATTAN,47049.37,109.25,3688.27
2020,MANHATTAN,48914.17,54,1892.38
2020,BROOKLYN,48914.17,1,29.53
2020,MANHATTAN,48914.17,155,5381.49
2020,QUEENS,54261.53,3,85.76
2020,MANHATTAN,48914.17,72,2656.99
2020,BROOKLYN,48914.17,78.25,2783.22
2020,MANHATTAN,48914.17,1.5,41.83
2020,BROOKLYN,43026.02,101,2872.91
2020,MANHATTAN,48635.91,171.25,5420.05
2020,BROOKLYN,48311.63,37,1036.79
2020,QUEENS,48965.38,1,30
2020,MANHATTAN,47642,185,6090.92
2020,BROOKLYN,48929.87,2.5,72.77
2020,BROOKLYN,51312.17,78.5,2494.75
2020,MANHATTAN,48235.51,169.25,5261.29
2020,MANHATTAN,48914.17,137.75,4480.01
2020,BRONX,52908.94,1.75,69.29
2020,BROOKLYN,48914.17,50.25,1841.94
2020,MANHATTAN,48914.17,27.75,790.83
2020,MANHATTAN,47705.73,21.25,829.47
2020,BROOKLYN,52837.63,19.25,561.39
2020,MANHATTAN,48329.98,2.5,63.97
2020,QUEENS,53270.29,3.25,93.44
2020,BROOKLYN,53270.29,2,57.5
2020,QUEENS,48914.17,17.75,574.06
2020,MANHATTAN,48261.85,33.75,1002.26
2020,BROOKLYN,48186.05,115.75,4074.12
2020,MANHATTAN,51461.07,47.5,1524.15
2020,MANHATTAN,48914.17,145.25,4196.21
2020,BROOKLYN,48914.17,121.25,4061.58
2020,MANHATTAN,48947.8,6.5,174.02
2020,BROOKLYN,46505.22,10,279.21
2020,QUEENS,48914.17,125,4138.24
2020,MANHATTAN,49160.57,62,2263.91
2020,MANHATTAN,48929.87,5,122.74
2020,MANHATTAN,48914.17,4.5,128.39
2020,MANHATTAN,48929.87,1.75,51.43
2020,MANHATTAN,48914.17,15,281.82
2020,MANHATTAN,48914.17,8,271.59
2020,BROOKLYN,43285.22,114.5,3401.65
2020,MANHATTAN,48811.83,2.25,55.82
2020,MANHATTAN,48914.17,113,3773.26
2020,BRONX,48896.6,2,57.18
2020,MANHATTAN,48914.17,72.5,2487.03
2020,BROOKLYN,45673.07,112,3685.82
2020,MANHATTAN,41471.83,352.75,10632.89
2020,MANHATTAN,48914.17,26,952.38
2020,MANHATTAN,49160.57,5.25,176.44
2020,BRONX,46972.69,32.75,1107.17
2020,MANHATTAN,46652.32,115.75,3747.9
2020,BROOKLYN,48914.17,89.75,3056.7
2020,QUEENS,46972.69,143.5,4405.41
2020,BROOKLYN,48914.17,86,2895.82
2020,BRONX,45675.52,18,472.63
2020,BRONX,50416.97,38,1356.44
2020,MANHATTAN,49632.13,22,1239.66
2020,BRONX,45414.64,36,1233.16
2020,MANHATTAN,41845.34,328.75,9643.93
2020,MANHATTAN,46972.69,109,2984.62
2020,QUEENS,48914.17,48,1466.9
2020,BROOKLYN,48914.17,48,1572.49
2020,MANHATTAN,47418.63,8,238.88
2020,BROOKLYN,44959.99,42.25,1331.16
2020,QUEENS,48914.17,51.75,1510.52
2020,MANHATTAN,46824.42,15.25,508.86
2020,BRONX,41461.31,144,4038.85
2020,MANHATTAN,45912.08,100.5,2912.65
2020,MANHATTAN,46972.69,48,1702.76
2020,MANHATTAN,46689.1,94,2933.02
